days,val,se
8595.651,1.01303,0.00028
8599.649,1.01042,0.00027
8600.636,0.99018,0.00025
8601.638,0.99293,0.00025
8602.705,0.99044,0.00026
8604.666,0.98466,0.00024
8605.635,0.99561,0.00031
8606.68,0.98098,0.00025
8607.63,0.97926,0.00028
8608.627,0.96659,0.00025
8609.638,0.97634,0.0003
8613.621,0.96555,0.00024
8614.736,0.98366,0.00026
8615.738,0.98158,0.00026
8616.632,0.97394,0.00026
8617.594,0.98368,0.00028
8618.677,0.98698,0.0003
8621.586,0.99571,0.00035
8622.589,1.00537,0.00036
8624.587,0.97365,0.00026
8625.573,1.00187,0.00028
8626.569,1.00249,0.00026
8637.552,0.99796,0.00049
8638.552,0.98709,0.00077
8639.551,1.02209,0.00079
8640.552,0.99269,0.00055
8641.552,0.98967,0.0006
8642.552,0.99187,0.00051
8643.562,1.00129,0.00036
8644.551,1.0336,0.00056
8645.556,1.01465,0.00052
8646.542,1.01086,0.0006
8647.561,1.03917,0.00068
8648.514,1.00792,0.00054
8650.514,1.00986,0.00053
8651.525,1.01171,0.0004
8652.635,1.00704,0.00063
8653.513,1.01275,0.00051
8654.51,1.00761,0.00056
8656.513,1.02911,0.00102
8657.647,1.03482,0.0006
8658.507,1.03757,0.00055
8664.479,1.00895,0.00113
8674.46,1.06337,0.00059
8678.471,1.02734,0.00037
8679.523,1.05257,0.00063
8680.496,1.05703,0.00087
8680.502,1.05856,0.00116
8681.477,1.05815,0.00064
8684.563,1.00313,0.00053
8687.517,1.02478,0.00096
8688.572,0.96715,0.00055
8689.572,0.98018,0.00047
8690.489,0.98289,0.00049
8691.555,1.00187,0.00087
8692.523,0.97311,0.00049
8693.53,0.95992,0.0006
8694.51,0.96234,0.00051
8695.493,0.95888,0.00055
8698.488,0.99678,0.00057
8699.481,0.98178,0.00066
8700.48,0.98817,0.00057
8701.469,0.98741,0.00059
8702.469,0.99097,0.0006
8703.474,0.99111,0.00059
8704.473,1.00101,0.0006
8705.47,1.00272,0.0006
8706.558,1.01661,0.00081
8707.497,0.97982,0.00077
8707.503,0.97153,0.0008
8723.491,1.03355,0.00059
8724.478,1.0175,0.00065
8725.477,1.03056,0.00059
8726.527,1.02414,0.00059
8727.492,1.01417,0.00074
8729.497,1.00697,0.00072
8729.503,1.006,0.00077
8730.483,1.00704,0.00064
8731.479,1.01766,0.00143
8734.485,1.03533,0.00066
8734.506,1.03121,0.00066
8738.482,1.04567,0.00072
8739.482,1.04207,0.00081
8741.484,1.01476,0.00054
